GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
accomfinder,com.practo.jedi.entity,PropertyTypeEntity,13,32,0,0,5,14,4,9,4,9
accomfinder,com.practo.jedi.entity,AddressEntity,13,46,0,0,5,20,4,13,4,13
accomfinder,com.practo.jedi.entity,UserEntity,6,56,0,0,2,24,2,15,2,15
accomfinder,com.practo.jedi.entity,ImageEntity,6,39,0,0,2,17,2,11,2,11
accomfinder,com.practo.jedi.entity,ListingEntity,3,112,0,0,1,48,1,32,1,32
accomfinder,com.practo.jedi.exception,RestException,23,0,0,0,10,0,5,0,5,0
accomfinder,log4j2test,MyClass,42,0,0,0,17,0,7,0,7,0
accomfinder,log4j2test,Log4J2PropertiesConf,22,0,0,0,8,0,3,0,3,0
accomfinder,log4j2test,Log4J2PropertiesConfTest,10,0,0,0,4,0,2,0,2,0
accomfinder,com.practo.jedi.models,Image,16,90,4,4,2,30,5,12,1,12
accomfinder,com.practo.jedi.models,Listing,38,335,13,19,10,108,17,38,5,34
accomfinder,com.practo.jedi.models,Address,2,105,5,5,1,34,6,12,1,12
accomfinder,com.practo.jedi.models,User,26,126,8,6,6,41,8,14,1,14
accomfinder,com.practo.jedi.models,PropertyType,12,61,3,3,1,20,4,8,1,8
accomfinder,com.practo.jedi.models,ListingFilter,47,98,0,0,19,38,14,19,14,19
accomfinder,com.practo.jedi.run,Application,14,3,0,0,3,1,2,1,2,1
accomfinder,com.practo.jedi.web.controllers,JspController,377,66,6,0,78,5,16,1,13,1
accomfinder,com.practo.jedi.service,PropertyTypeServiceImpl,32,143,4,10,7,41,4,10,0,7
accomfinder,com.practo.jedi.service,UserServiceImpl,60,201,5,11,15,53,5,12,0,9
accomfinder,com.practo.jedi.service,MailerService,25,3,0,0,7,1,1,1,1,1
accomfinder,com.practo.jedi.service,ListingServiceImpl,32,229,4,12,7,60,4,12,0,8
accomfinder,com.practo.jedi.service,ImageServiceImpl,16,113,4,6,4,32,4,7,0,6
accomfinder,com.practo.jedi.service,AddressServiceImpl,16,97,4,6,4,28,4,7,0,6
accomfinder,com.practo.jedi.controllers,ListingController,104,6,0,0,22,2,9,1,9,1
accomfinder,com.practo.jedi.controllers,UserController,85,3,0,0,18,1,6,1,6,1
accomfinder,com.practo.jedi.controllers,ImageController,55,3,0,0,12,1,4,1,4,1
accomfinder,com.practo.jedi.controllers,AddressController,55,3,0,0,12,1,4,1,4,1
accomfinder,com.practo.jedi.controllers,PropertyTypeController,67,3,0,0,15,1,5,1,5,1
accomfinder,com.practo.jedi.dao,UserDaoImpl,2,74,1,3,1,17,1,6,0,5
accomfinder,com.practo.jedi.dao,AddressDaoImpl,5,50,0,2,2,12,1,5,1,4
accomfinder,com.practo.jedi.dao,PropertyTypeImpl,0,60,0,2,0,16,0,7,0,6
accomfinder,com.practo.jedi.dao,ListingDaoImpl,6,435,18,30,6,83,18,18,0,12
accomfinder,com.practo.jedi.dao,ImageDaoImpl,0,55,0,2,0,14,0,6,0,5
